WF_MENU_MUS_IDKFA,,,Andrew Hulshult's IDKFA soundtrack,,,,Andrew Hulshult's IDKFA Soundtrack,,,,,,,,,Colonna sonora IDKFA di Andrew Hulshult,,,,,Ścieżka dźwiękowa IDKFA Andrew Hulshulta,,,,Саундтрек IDKFA Эндрю Хулшульта,,,,,
WF_MENU_MUS_SIGILMP3,,,Buckethead soundtrack for SIGIL,,,,Buckethead Soundtrack für SIGIL,,,,,,,,,Colonna sonora di Buckethead per SIGIL,,,,,Ścieżka dźwiękowa Buckethead w SIGIL,,,,Саундтрек Buckethead к SIGIL,,,,,
WF_MENU_MUS_SIGIL2MP3,,,THORR soundtrack for SIGIL II,,,,THORR Soundtrack für SIGIL II,,,,,,,,,Colonna sonora di THORR per SIGIL II,,,,,Ścieżka dźwiękowa THORR w SIGIL II,,,,Саундтрек THORR к SIGIL II,,,,,
WF_MENU_MAP_E1M8B,,,Replace E1M8 with E1M8B,,,,Ersetze E1M8 mit E1M8B,,,,,,,,,Sostituisci E1M8 con E1M8B,,,,,Zamień E1M8 na E1M8B,,,,Заменить E1M8 на E1M8B,,,,,
WF_MENU_MAP_E1M4B,,,Replace E1M4 with E1M4B,,,,Ersetze E1M4 mit E1M4B,,,,,,,,,Sostituisci E1M4 con E1M4B,,,,,Zamień E1M4 na E1M4B,,,,Заменить E1M4 на E1M4B,,,,,
WF_MENU_MAP_MLR,,,Master Levels Rejects,,,,,,,,,,,,,,,,,,Odrzucone Poziomy mistrzów,,,,Отклоненные Уровни мастеров,,,,,
WF_MENU_MAP_MLR_STORY,,,Master Levels Rejects story,,,,,,,,,,,,,Storia per i Master Levels Rejects,,,,,Fabuła w odrzuconych Poziomach mistrzów,,,,Сюжет в отклоненных Уровнях мастеров,,,,,
WF_MENU_INTROS,,,Intro stories,,,,,,,,,,,,,Storie introduttive,,,,,Fabuła otwierające,,,,Вступительные сюжеты,,,,,
WF_MENU_FULLRUN,,,Full Run,,,,Kompletter Durchgang,,,,,,,,,Campagna Totale,,,,,,,,,Полное прохождение,,,,,
WF_MENU_FULLRUN_OPVAL1,,,On (default order),,,,An (Standard Reihenfolge),,,,,,,,,Attivo (ordine di default),,,,,Włączone (w domyślnej kolejności),,,,Вкл. (последовательность по умолчанию),,,,,
WF_MENU_FULLRUN_OPVAL2,,,On (release order),,,,An (Release Reihenfolge),,,,,,,,,Attivo (ordine per data d'uscita),,,,,Włączone (w kolejności wydania),,,,Вкл. (последовательность в порядке выпуска),,,,,
WF_MENU_FULLRUN_OPVAL3,,,On (chronological order),,,,An (Chronologische Reihenfolge),,,,,,,,,Attivo (ordine cronologico),,,,,Włączone (w porządku chronologicznym),,,,Вкл. (хронологическая последовательность),,,,,
WF_MENU_FULLRUN_ML,,,Master Levels in Full Run,,,,Master Levels im kompletten Durchgang,,,,,,,,,Master Levels in una Campagna Totale,,,,,,,,,Уровни мастеров в Полном прохождении,,,,,
WF_MENU_FULLRUN_CAST,,,End cast sequences in Full Run,,,,End-Cast Sequenzen im kompletten Durchgang,,,,,,,,,Sequenza del cast in una Campagna Totale,,,,,,,,,Финальные составы монстров в «Полном прохождении»,,,,,
WF_MENU_FULLRUN_LOOP,,,Full Run loop,,,,Kompletter Durchgang wiederholen,,,,,,,,,Loop Campagna Totale,,,,,,,,,Повтор «Полного прохождения»,,,,,
WF_MENU_ID24TRANS,,,Original ID24 actors transparency,,,,Original ID24 Actor Transparenz,,,,,,,,,Trasparenza originale per gli attori ID24,,,,,Oryginalna przezroczystość aktorów ID24,,,,Оригинальная прозрачность агентов (Actors) ID24,,,,,
WF_MENU_MODE,,,Mode,,,,Modus,,,,,,,,,Modalità,,,,,Tryb,,,,Режим,,,,,
WF_MENU_COMPAT_TITLE,,,WadFusion Compatibility Options,,,,WadFusion Kompatibilitäts-Optionen,,,,,,,,,Opzioni di compatibilità WadFusion,,,,,Opcje Zgodności WadFusion,,,,Настройки совместимости WadFusion,,,,,
WF_MENU_COMPAT_RESTART_WARNING,,,Note: Changing most of these compatibility options requires a level restart.,,,,Hinweis: Die meisten Kompatibilitäts-Optionen benötigen einen Level-Neustart.,,,,,,,,,Nota: nella maggior parte dei casi modificare queste impostazioni il riavvio del livello,,,,,Uwaga: Zmiana większości tych ustawień kompatybilności wymaga zresetowania poziomu.,,,,Примечание: Для применения большинства настроек совместимости требуется перезапуск уровня.,,,,,
WF_MENU_COMPAT_SIGIL2SPIDERBOSS,,,SIGIL II Spider Mastermind buff,,,,Stärkerer Spider-Mastermind in SIGIL II,,,,,,,,,Aracnomente Suprema potenziata di SIGIL II,,,,,Wzmocnienie Pajęczego Mistrza w SIGIL II,,,,Усиление Паука-предводителя в SIGIL II,,,,,
WF_MENU_COMPAT_SIGIL2SPIDERBOSS_OPTVAL1,,,On (only in SIGIL II),,,,An (Nur in SIGIL II),,,,,,,,,Attivo (solo in SIGIL II),,,,,Włączone (tylko w SIGIL II),,,,Вкл. (только в SIGIL II),,,,,
WF_MENU_COMPAT_ID24_WEAPONS,,,ID24 weapon substitutions,,,,ID24 Waffen-Austausch,,,,,,,,,Sostituzione armi ID24,,,,,Wymiana broni ID24,,,,Замена оружий ID24,,,,,
WF_MENU_COMPAT_ID24_WEAPONS_OPTVAL1,,,On (only in Legacy of Rust),,,,An (Nur in Das rostige Vermächtnis),,,,,,,,,Attivo (solo in Legacy of Rust),,,,,Włączone (tylko w Rdzawy los),,,,Вкл. (только в Наследии ржавчины),,,,,
WF_MENU_COMPAT_ID24_HUD,,,ID24 status bars,,,,ID24 Status-Leisten,,,,,,,,,Barra di stato ID24,,,,,Paski statusu ID24,,,,Строки состояния ID24,,,,,
WF_MENU_COMPAT_XBOXSECRETEXITS,,,Xbox secret exits,,,,XBox Geheim-Ausgänge,,,,,,,,,Uscite segrete Xbox,,,,,Sekretne wyjścia z wersji Xbox,,,,Тайные выходы из Xbox,,,,,
WF_MENU_COMPAT_PISTOLSTART,,,Pistol start scripts,,,,Pistol-Start Skripte,,,,,,,,,Script: Inizio con pistola,,,,,,,,,Скрипты для пистолета в начале,,,,,
WF_MENU_COMPAT_CHANGEMUSIC,,,ChangeMusic scripts,,,,ChangeMusic Skripte,,,,,,,,,Script: ChangeMusic,,,,,Skrypty ChangeMusic,,,,Скрипты ChangeMusic,,,,,
WF_MENU_COMPAT_NEXTMAP,,,NextMap scripts,,,,NextMap Skripte,,,,,,,,,Script: NextMap,,,,,Skrypty NextMap,,,,Скрипты NextMap,,,,,
WF_MENU_COMPAT_TITLEPICS,,,Intro title screens,,,,Intro-Titelbilder,,,,,,,,,Schermate dei titoli introduttive,,,,,,,,,Вступительные заставки,,,,,
WF_MENU_COMPAT_KILLCOUNTFIX,,,Don't count summoned and revived enemies,,,,Beschworene und wiederbelebte Feinde werden nicht gezählt,,,,,,,,,Le creature evocate e rianimate non contano nel totale,,,,,Nie licz przywołanych i ożywionych przeciwników,,,,Не засчитывать призванных и возрожденных врагов,,,,,
WF_MENU_COMPAT_MAPFIXES,,,Map fixes,,,,Korrigierte Level,,,,,,,,,Correzioni alle mappe,,,,,Poprawki map,,,,Исправление карт,,,,,
WF_MENU_COMPAT_TEXSWAP,,,Texture substitutions,,,,Textur-Austausch,,,,,,,,,Sostituzione texture,,,,,Zamienione tekstury,,,,Замена текстур,,,,,
WF_MENU_COMPAT_TEXSWAP_D1,,,DOOM 1 texture substitutions,,,,DOOM 1 Textur-Austausch,,,,,,,,,Sostituzione texture per DOOM 1,,,,,Zamienione tekstury w DOOM 1,,,,Замена текстур в DOOM 1,,,,,
WF_MENU_COMPAT_TEXSWAP_FD,,,Final DOOM texture substitutions,,,,Final DOOM Textur-Austausch,,,,,,,,,Sostituzione texture per Final DOOM,,,,,Zamienione tekstury w Final DOOM,,,,Замена текстур в Финальном DOOM,,,,,
WF_MENU_COMPAT_TEXSWAP_ID1,,,Legacy of Rust texture substitutions,,,,Das rostige Vermächtnis Textur-Austausch,,,,,,,,,Sostituzione texture per Legacy of Rust,,,,,Zamienione tekstury w Legacy of Rust,,,,Замена текстур в Legacy of Rust,,,,,
WF_MENU_COMPAT_TEXSWAP_ML,,,Master Levels texture substitutions,,,,Master Levels Textur-Austausch,,,,,,,,,Sostituzione texture per Master Levels,,,,,Zamienione tekstury w Poziomach mistrzów,,,,Замена текстур в Уровнях мастеров,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL,,,Texture substitutions in all levels,,,,Textur-Austausch in allen Leveln,,,,,,,,,Sostituzione texture in tutti i livelli,,,,,Zamienione tekstury we wszystkich poziomach,,,,Замена текстур во всех уровнях,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL1,,,DOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL2,,,TNT,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL3,,,PLUTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL4,,,ID1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL5,,,COMBINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL6,,,ACHERON/VIRGIL/MINOS/NESSUS/GERYON/VESPERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL7,,,MANOR/TTRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL8,,,MINES,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL9,,,ANOMALY,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL10,,,FARSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL11,,,TROUBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_OPTVAL12,,,UDTWID,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_TEXTURES,,,TEXTURES,,,,,,,,,,,,,TEXTURE,,,,,,,,,ТЕКСТУРЫ,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_ANIMTEXTURES,,,ANIMATED TEXTURES,,,,,,,,,,,,,TEXTURE ANIMATE,,,,,,,,,АНИМИРОВАННЫЕ ТЕКСТУРЫ,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_ANIMFLATS,,,ANIMATED FLATS,,,,,,,,,,,,,FLAT ANIMATI,,,,,,,,,АНИМИРОВАННЫЕ ПЛОСКОСТИ,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_SWITCHES,,,SWITCHES,,,,,,,,,,,,,INTERRUTTORI,,,,,,,,,ПЕРЕКЛЮЧАТЕЛИ,,,,,
WF_MENU_COMPAT_TEXSWAP_ALL_SKIES,,,SKIES,,,,,,,,,,,,,CIELI,,,,,,,,,НЕБО,,,,,
WF_MENU_COMPAT_MUSSWAP,,,Music substitutions,,,,Musik-Austausch,,,,,,,,,Sostituzione musica,,,,,,,,,Замена музыки,,,,,
WF_MENU_COMPAT_NEWGAME,,,"Go to original ""New Game"" menu",,,,"Gehe zum original ""Neues Spiel"" Menü",,,,,,,,,"Vai al menù ""Nuova Partita"" originale",,,,,,,,,Открыть оригинальное меню «Новая игра»,,,,,
WF_MENU_COMPAT_NEWGAMEFUSION,,,"Go to Fusion's ""New Game"" menu",,,,"Gehe zum Fusion ""Neues Spiel"" Menü",,,,,,,,,"Vai al menù ""Nuova Partita"" di Fusion",,,,,,,,,Открыть меню «Новая игра» от Fusion,,,,,
WF_MENU_COMPAT_READTHIS,,,"Go to ""Read This!"" menu",,,,"Gehe zum ""Info!"" Menü",,,,,,,,,"Vai al menù ""Leggi Bene!""",,,,,"Otwórz menu ""Info""",,,,Открыть меню «Информация»,,,,,
WF_MENU_COMPAT_READTHIS_ALL,,,All Help screens,,,,Alle Hilfe-Seiten,,,,,,,,,Tutte le schermate di aiuto,,,,,Wszystkie ekrany Info,,,,Все экраны информации,,,,,
WF_MENU_HUD_TITLE,,,WadFusion HUD Options,,,,WadFusion HUD Optionen,,,,,,,,,Opzioni HUD WadFusion,,,,,Opcje HUD WadFusion,,,,Настройки отображения информации WadFusion,,,,,
WF_MENU_HUD_ID24,,,Always show cell and fuel ammo in status bar,,,,Zeige immer Energiezellen und Treibstoff Munition in der Status-Leiste,,,,,,,,,Mostra sempre le munizioni Cell e Carb nella barra di stato,,,,,Zawsze pokazuj amunicję dla ogniw i paliwa w pasku statusu,,,,Всегда показывать энергобатареи и топливо в строке состояния,,,,,
WF_MENU_HUD_SWAPHEALTHARMOR,,,Swap health and armor in fullscreen HUD,Swap health and armour in fullscreen HUD,,,Tausche Gesundheit und Rüstung des Vollbild-HUD,,,,,,,,,Scambia di posto la salute con l'armatura nell'HUD a schermo intero,,,,,Zamień zdrowie i pancerz w pełnoekranowym HUD,,,,Поменять здоровье и броню местами в полноэкранном отображении информации,,,,,
WF_MENU_HUD_ULTRAWIDE,,,Fullscreen HUD horizontal offset,,,,Horizontaler Versatz des Vollbild-HUD,,,,,,,,,Spostamento orizzontale dell'HUD a schermo intero,,,,,Poziome przesunięcie pełnoekranowego HUD,,,,Горизонтальное смещение полноэкранного отображения информации,,,,,
WF_MENU_HUD_ULTRAWIDE_FULLSCREEN,,,Only use horizontal offset in fullscreen mode,,,,Nutze horizontalen Versatz nur im Vollbild-Modus,,,,,,,,,Usare lo spostamento orizzontale solo se a schermo intero,,,,,Przesunięcie w poziomie tylko w trybie pełnoekranowym,,,,Использовать горизонтальное смещение только в полноэкранном режиме,,,,,
WF_MENU_HUD_ALT,,,Use WadFusion’s alternate fullscreen HUD,,,,Nutze WadFusion's alternatives Vollbild-HUD,,,,,,,,,Usare l'HUD a schermo intero alternativo di WadFusion,,,,,Korzystaj z alternatywnego pełnoekranowego HUD WadFusion,,,,Использовать альтернативное полноэкранное отображение информации WadFusion,,,,,
WF_MENU_HUD_ALT_MUGSHOT,,,Show mug shot,,,,Zeige Gesicht,,,,,,,,,Mostra il volto,,,,,Pokaż portret,,,,Отображать портрет,,,,,
WF_MENU_HUD_ALT_MUGSHOT_OPTVAL1,,,Yes (replace medikit),,,,Ja (Ersetzt Medikit),,,,,,,,,Sì (al posto del Medikit),,,,,Tak (wymienić apteczkę),,,,Да (заменять аптечку),,,,,
WF_MENU_HUD_ALT_HEALTH,,,Show health,,,,Zeige Gesundheit,,,,,,,,,Mostra salute,,,,,Pokaż zdrowie,,,,Отображать здоровье,,,,,
WF_MENU_HUD_ALT_LOWERHEALTH,,,Show negative health,,,,,,,,,,,,,,,,,,,,,,Отображать отрицательное здоровье,,,,,
WF_MENU_HUD_ALT_ARMOR,,,Show armor,Show armour,,,Zeige Rüstung,,,,,,,,,Mostra armatura,,,,,Pokaż zbroję,,,,Отображать броню,,,,,
WF_MENU_HUD_ALT_AMMO,,,Show ammo,,,,Zeige Munition,,,,,,,,,Mostra munizioni,,,,,Pokaż amunicję,,,,Отображать патроны,,,,,
WF_MENU_HUD_ALT_AMMOINV,,,Show ammo list,,,,Zeige Munitions-Liste,,,,,,,,,Mostra elenco munizioni,,,,,Pokaż listę amunicji,,,,Отображать список патронов,,,,,
WF_MENU_HUD_ALT_AMMOINV_CURRENT,,,Show current ammo in list,,,,Zeige aktuelle Munition in Liste,,,,,,,,,Mostra le munizioni attualmente in uso nell'elenco,,,,,,,,,Отображать нынешние патроны в списке,,,,,
WF_MENU_HUD_ALT_POWERUP,,,Show powerup timers,,,,Zeige Boni Timer,,,,,,,,,Mostra timer dei potenziamenti,,,,,Pokaż czas dla ulepszeń,,,,Отображать таймеры усилений,,,,,
WF_MENU_HUD_ALT_WEAPINV,,,Show weapon slots,,,,Zeige Waffen-Slots,,,,,,,,,Mostra slot delle armi,,,,,Pokaż sloty na broń,,,,Отображать слоты оружия,,,,,
WF_MENU_HUD_ALT_KEYS,,,Show keys,,,,Zeige Schlüssel,,,,,,,,,Mostra chiavi,,,,,Pokaż klucze,,,,Отображать ключи,,,,,
WF_MENU_HUD_ALT_FRAGS,,,Show frags,,,,Zeige Frags,,,,,,,,,Mostra frag,,,,,Pokaż fragi,,,,Отображать фраги,,,,,
WF_MENU_HUD_ALT_STATS_MONSTERS,,,Show monster counts,,,,Zeige Anzahl der Monster,,,,,,,,,Mostra numero mostri,,,,,Pokaż ilość potworów,,,,Отображать количество монстров,,,,,
WF_MENU_HUD_ALT_STATS_MONSTERS_OPTVAL1,,,Yes (except Nightmare),,,,Ja (außer bei Alptraum),,,,,,,,,Sì (eccetto Incubo),,,,,Tak (poza Koszmarem),,,,Да (кроме Кошмара),,,,,
WF_MENU_HUD_ALT_STATS_ITEMS,,,Show item counts,,,,Zeige Anzahl der Gegenstände,,,,,,,,,Mostra numero oggetti,,,,,Pokaż ilość przedmiotów,,,,Отображать количество предметов,,,,,
WF_MENU_HUD_ALT_STATS_SECRETS,,,Show secret counts,,,,Zeige Anzahl der Geheimnisse,,,,,,,,,Mostra numero segreti,,,,,Pokaż ilość sekretów,,,,Отображать количество тайников,,,,,
WF_MENU_HUD_ALT_STATS_ICONS,,,Use icons for map stats,,,,Zeige Symbole für die Level-Statistik,,,,,,,,,Usa icone per le statistiche della mappa,,,,,Kożystaj z ikon dla statystyk map,,,,Использовать символы для статистики карты,,,,,
WF_MENU_HUD_ALT_INFO_TIME,,,Show time elapsed,,,,Zeige verstrichene Zeit,,,,,,,,,Mostra il tempo passato,,,,,Pokaż upłynięty czas,,,,Отображать прошедшее время,,,,,
WF_MENU_HUD_ALT_INFO_TOTALTIME,,,Show total time elapsed,,,,Zeige verstrichene Gesamt-Zeit,,,,,,,,,Mostra il tempo passato totale,,,,,Pokaż całkowity upłynięty czas,,,,Отображать общее прошедшее время,,,,,
WF_MENU_HUD_ALT_INFO_TIMEMILLIS,,,Show milliseconds,,,,Zeige Millisekunden,,,,,,,,,Mostra millisecondi,,,,,Pokaż milisekundy,,,,Отображать миллисекунды,,,,,
WF_MENU_HUD_ALT_INFO_MAPNAME,,,Show map name,,,,Zeige Level-Name,,,,,,,,,Mostra nome della mappa,,,,,Pokaż nazwę mapy,,,,Отображать название карты,,,,,
WF_MENU_HUD_ALT_INFO_MAPLABEL,,,Show map label,,,,Zeige Level-Kennzeichnung,,,,,,,,,Mostra etichetta mappa,,,,,Pokaż oznaczenie mapy,,,,Отображать обозначение карты,,,,,
WF_MENU_HUD_ALT_INFO_MAPAUTHOR,,,Show map author,,,,Zeige Level-Author,,,,,,,,,Mostra autore mappa,,,,,Pokaż autora mapy,,,,Отображать автора карты,,,,,
WF_MENU_HUD_ALT_INFO_SKILL,,,Show skill level,,,,Zeige Schwierigkeitsgrad,,,,,,,,,Mostra livello di difficoltà,,,,,,,,,Отображать уровень сложности,,,,,
WF_MENU_HUD_ALT_INFO_DONTOFFSET,,,Don't offset map info,,,,Kein Level-Info Versatz,,,,,,,,,Non spostare le informazioni mappa,,,,,,,,,Не смещать информацию карты,,,,,
WF_MENU_HUD_ALT_ALPHA_HEALTH,,,Health and armor transparency,Health and armour transparency,,,Transparenz Gesundheit und Rüstung,,,,,,,,,Trasparenza salute e armatura,,,,,Przezroczystość zdrowia i zbroji,,,,Прозрачность здоровья и брони,,,,,
WF_MENU_HUD_ALT_ALPHA_AMMO,,,Ammo transparency,,,,Transparenz Munition,,,,,,,,,Trasparenza munizioni,,,,,Przezroczystość amunicji,,,,Прозрачность патронов,,,,,
WF_MENU_HUD_ALT_ALPHA_AMMOINV,,,Ammo list transparency,,,,Transparenz Munitions-Liste,,,,,,,,,Trasparenza elenco munizioni,,,,,Przezroczystość listy amunicji,,,,Прозрачность списка патронов,,,,,
WF_MENU_HUD_ALT_ALPHA_POWERUP,,,Powerup timers transparency,,,,Transparenz Boni Timer,,,,,,,,,Trasparenza timer dei potenziamenti,,,,,Przezroczystość czasu dla ulepszeń,,,,Прозрачность таймеров усилений,,,,,
WF_MENU_HUD_ALT_ALPHA_WEAPINV,,,Weapons slots transparency,,,,Transparenz Waffen-Slots,,,,,,,,,Trasparenza slot armi,,,,,Przezroczystość slotów broni,,,,Прозрачность слотов оружий,,,,,
WF_MENU_HUD_ALT_ALPHA_KEYS,,,Keys transparency,,,,Transparenz Schlüssel,,,,,,,,,Trasparenza chiavi,,,,,Przezroczystość kluczy,,,,Прозрачность ключей,,,,,
WF_MENU_HUD_ALT_ALPHA_FRAGS,,,Frags transparency,,,,Transparenz Frags,,,,,,,,,Trasparenza frag,,,,,Przezroczystość fragów,,,,Прозрачность фрагов,,,,,
WF_MENU_HUD_ALT_ALPHA_STATS,,,Map stats transparency,,,,Transparenz Level-Statistik,,,,,,,,,Trasparenza statistiche mappa,,,,,przezroczystość statystyk mapy,,,,Прозрачность статистики карты,,,,,
WF_MENU_HUD_ALT_ALPHA_STATS_INFO,,,Map info transparency,,,,Transparenz Level-Info,,,,,,,,,Trasparenza informazioni mappa,,,,,,,,,Прозрачность информации карты,,,,,
WF_MENU_CREDITS,,,Credits,,,,,,,,,,,,,Riconoscimenti,,,,,Autorzy,,,,Разработчики,,,,,
WF_MENU_CREDITS_DOOM2_TITLE,,,DOOM II: Hell on Earth,,,,DOOM II: Hölle auf Erden,,,,,,,,,,,,,,DOOM II: Piekło na Ziemi,,,,DOOM II: Ад на Земле,,,,,
WF_MENU_CREDITS_D2ML_TITLE,,,Master Levels for DOOM II,,,,Master Levels für DOOM II,,,,,,,,,,,,,,Poziomy Mistrzów dla DOOM II,,,,Уровни мастеров для DOOM II,,,,,
,hud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_HUD_AMMO_BULLETS,,,bull,,,,,,,,,,,,,cart,,,,,,,,,пули,,,,,
WF_HUD_AMMO_SHELLS,,,shel,,,,,,,,,,,,,pall,,,,,,,,,патр,,,,,
WF_HUD_AMMO_ROCKETS,,,rckt,,,,,,,,,,,,,razz,,,,,,,,,ркет,,,,,
WF_HUD_AMMO_CELLS,,,cell,,,,,,,,,,,,,cell,,,,,,,,,энбт,,,,,
WF_HUD_AMMO_FUEL,,,fuel,,,,,,,,,,,,,carb,,,,,,,,,топл,,,,,
